,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 09:30:00,9,34,574,0.8981217985202049,0.093340922026181,0.0,0.0,0.0005691519635742744,0.007398975526465566,1757.0,3
2023-01-01 09:35:00,9,39,579,0.8929593589009731,0.0933028048082427,0.0,0.0,0.0034344590726960505,0.009730967372638809,1747.0,3
2023-01-01 09:40:00,9,44,584,0.8874098724348308,0.09373266777592901,0.0,0.0,0.004437049362174155,0.010537992235163616,1803.0,3
2023-01-01 09:45:00,9,49,589,0.8939632545931758,0.09186351706036745,0.0,0.0,0.0031496062992125984,0.008923884514435695,1905.0,3
2023-01-01 09:50:00,9,54,594,0.9005319148936171,0.08882978723404256,0.0,0.0,0.0010638297872340426,0.006914893617021276,1880.0,3
2023-01-01 09:55:00,9,59,599,0.8751941998964268,0.108234075608493,0.0,0.0,0.0015535991714137752,0.010357327809425169,1931.0,3
2023-01-01 10:00:00,10,4,604,0.8992481203007519,0.08671679197994987,0.0,0.0,0.0015037593984962407,0.009523809523809525,1995.0,3
2023-01-01 10:05:00,10,9,609,0.9048361934477379,0.07904316172646905,0.0,0.0,0.0015600624024961,0.010400416016640665,1923.0,3
2023-01-01 10:10:00,10,14,614,0.8842849924204144,0.10207175341081354,0.0,0.0,0.00202122283981809,0.008590197069226882,1979.0,3
2023-01-01 10:15:00,10,19,619,0.9016649323621228,0.0931321540062435,0.0,0.0,0.0,0.005202913631633715,1922.0,3
2023-01-01 10:20:00,10,24,624,0.9010165864098448,0.09149277688603531,0.0,0.0,0.0016051364365971107,0.004280363830925628,1869.0,3
2023-01-01 10:25:00,10,29,629,0.8963445167751627,0.09364046069103656,0.0,0.0,0.0,0.007511266900350526,1997.0,3
2023-01-01 10:30:00,10,34,634,0.9003522898842476,0.09109209864116759,0.0005032712632108706,0.0,0.0010065425264217413,0.006039255158530448,1987.0,3
2023-01-01 10:35:00,10,39,639,0.8891675025075225,0.09829488465396188,0.0005015045135406219,0.0,0.0025075225677031092,0.007522567703109328,1994.0,3
2023-01-01 10:40:00,10,44,644,0.9035769828926905,0.08553654743390357,0.0,0.0,0.0010368066355624676,0.00829445308449974,1929.0,3
2023-01-01 10:45:00,10,49,649,0.8898951382268827,0.09818875119161107,0.0,0.0,0.0019065776930409914,0.00667302192564347,2098.0,3
2023-01-01 10:50:00,10,54,654,0.898812351543943,0.09026128266033254,0.0,0.0,0.0,0.00665083135391924,2105.0,3
2023-01-01 10:55:00,10,59,659,0.8905325443786982,0.09615384615384616,0.0,0.0,0.0009861932938856016,0.008875739644970414,2028.0,3
2023-01-01 11:00:00,11,4,664,0.8999028182701652,0.08989310009718172,0.0,0.0,0.0009718172983479105,0.006316812439261419,2058.0,3
2023-01-01 11:05:00,11,9,669,0.9038744482589505,0.08386463952918097,0.0,0.0,0.0029426189308484553,0.008827856792545365,2039.0,3
2023-01-01 11:10:00,11,14,674,0.91063404892661,0.08187718422366451,0.0,0.0,0.00199700449326011,0.003494757863205192,2003.0,3
2023-01-01 11:15:00,11,19,679,0.8960843373493976,0.09437751004016064,0.0,0.0,0.0015060240963855422,0.007028112449799197,1992.0,3
2023-01-01 11:20:00,11,24,684,0.9198606271777003,0.07615729218516674,0.0,0.0,0.0014932802389248383,0.0024888003982080635,2009.0,3
2023-01-01 11:25:00,11,29,689,0.8975230694511899,0.0932491500728509,0.0,0.0,0.001942690626517727,0.006313744536182613,2059.0,3
2023-01-01 11:30:00,11,34,694,0.9133333333333333,0.08,0.0,0.0,0.0010256410256410256,0.005128205128205128,1950.0,3
2023-01-01 11:35:00,11,39,699,0.9118773946360154,0.07998084291187739,0.0,0.0,0.0014367816091954023,0.006226053639846743,2088.0,3
2023-01-01 11:40:00,11,44,704,0.9069879518072289,0.08626506024096385,0.0,0.0,0.0,0.005783132530120482,2075.0,3
2023-01-01 11:45:00,11,49,709,0.9002444987775061,0.09339853300733496,0.0,0.0,0.0019559902200488996,0.003911980440097799,2045.0,3
